,CYPRESS HILL ST/BETH EL CEM N,FOREST AV/PUTNAM AV,FRESH POND RD/68 AV,EUCLID AV/BELMONT AV,WYCKOFF AV/MENAHAN ST,FRESH POND RD/MYRTLE AV,EUCLID AV/SUTTER AV,STANLEY AV/CRESCENT ST,CRESCENT ST/LIBERTY AV,CRESCENT ST/ETNA ST,EUCLID AV/PITKIN AV,COZINE AV/CRESCENT ST,CRESCENT ST/JAMAICA AV,GRANDVIEW AV/GATES AV,67 AV/FRESH POND RD,SEAVIEW AV/ERSKINE ST,ELDERT LA/LORING AV,GATES AV/ST NICHOLAS AV,JAMAICA AV/HEMLOCK ST,EUCLID AV/LINDEN BL,GATES AV/WOODWARD AV,EUCLID AV/LIBERTY AV,POSTAL FACILITY RD/IN FRONT OF FACILITY,FOUNTAIN AV/FLATLANDS AV,FOUNTAIN AV/VANDALIA AV,FRESH POND RD/70 AV,STANLEY AV/AUTUMN AV,LINDEN BL/AUTUMN AV,CRESCENT ST/GLENMORE AV,COOPER AV/65 ST,SUTTER AV/EUCLID AV,CRESCENT ST/COZINE AV,GATEWAY CTR TERM/GATEWAY DR,COOPER AV/CYPRESS HILL ST,FRESH POND RD/CATALPA AV,LINDEN BL/CRESCENT ST,GATES AV/WYCKOFF AV,STANLEY AV/ELDERT LA,ELDERT LA/LINDEN BL,FOREST AV/WOODBINE ST,COOPER AV/62 ST,CRESCENT ST/FULTON ST,PUTNAM AV/FRESH POND RD,WYCKOFF AV/DE KALB AV,FOUNTAIN AV/BKLYN DEVEL CTR,WYCKOFF AV/HARMAN ST,62 ST/MYRTLE AV,61 ST/ST FELIX AV,CRESCENT ST/RIDGEWOOD AV,EUCLID AV/DUMONT AV,WYCKOFF AV/GREENE AV,67 AV/60 ST,CRESCENT ST/WORTMAN AV,STANLEY AV/SHERIDAN AV,GATES AV/FAIRVIEW AV,GATES AV/ONDERDONK AV,GATES AV/CYPRESS AV,COOPER AV/64 LA,COOPER AV/64 ST,CYPRESS HILLS ST/JAMAICA AV,CRESCENT ST/FLATLANDS AV,WYCKOFF AV/BLEECKER ST,JAMAICA AV/CYPRESS HILLS ST,61 ST/75 AV,EUCLID AV/BLAKE AV,WYCKOFF AV/STANHOPE ST,CYPRESS HILL ST/MT NEBOH CEM,LINDEN BL/EUCLID AV,EUCLID AV/GLENMORE AV,PUTNAM AV/FOREST AV,CRESCENT ST/ATLANTIC AV,CYPRESS HILL ST/MACHPELAH CEM N,SUTTER AV/CRESCENT ST,CRESCENT ST/WELDON ST,DE KALB AV/WYCKOFF AV,JAMAICA AV/CRESCENT ST,GATES AV/GRANDVIEW AV,62ND ST/75TH AV,LINDEN BL/SHERIDAN AV,GATEWAY DR/SITE DR,CRESCENT ST/STANLEY AV,COOPER AV/64 PL,GATES AV/SENECA AV,CYPRESS HILL ST/MACHPELAH CEM,CRESCENT ST/MCKINLEY AV,LINDEN BL/ELDERT LA,WYCKOFF AV/GROVE ST,CRESCENT ST/PITKIN AV,CYPRESS HILL ST/CYPRESS AV,Jackie Gleason Depot (JG)
EUCLID AV/BLAKE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,0.177 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WYCKOFF AV/STANHOPE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,
CYPRESS HILL ST/MT NEBOH CEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/EUCLID AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.076 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCLID AV/GLENMORE AV,,,,,,,,,,,0.146 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUTNAM AV/FOREST AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRESCENT ST/ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.218 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,
CYPRESS HILL ST/MACHPELAH CEM N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.598 SPRING CREEK GATEWAY MALL,
SUTTER AV/CRESCENT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.291 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,
CRESCENT ST/WELDON ST,,,,,,,,,0.232 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE KALB AV/WYCKOFF AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/CRESCENT ST,,,,,,,,,,,,,,,,,,,0.125 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATES AV/GRANDVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62ND ST/75TH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/SHERIDAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.166 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATEWAY DR/SITE DR,,,,,,,,,,,,,,,,,,,,,,,,,1.033 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,0.026 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRESCENT ST/STANLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOPER AV/64 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATES AV/SENECA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127 SPRING CREEK GATEWAY MALL,0.159 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYPRESS HILL ST/MACHPELAH CEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.887 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,
CRESCENT ST/MCKINLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,
LINDEN BL/ELDERT LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,
WYCKOFF AV/GROVE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRESCENT ST/PITKIN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYPRESS HILL ST/CYPRESS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.891 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,2.772 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,
Jackie Gleason Depot (JG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.613 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
