,RESEARCH AV/AMPERE AV,WESTCHESTER AV/ROBERTS AV,WESTCHESTER AV/AMENDOLA PZ,WESTCHESTER AV/CROSBY AV,MARCONI ST/LA FITNESS ENT,WESTCHESTER AV/MIDDLETOWN RD,COUNTRY CLUB RD/REED PL,BRUCKNER BL/BURR AV,WILLIAMSBRIDGE RD/SILVER ST,COUNTRY CLUB RD/LOHENGRIN PL,MARCONI ST/HUTCH METRO CTR,WATERS PL/EASTCHESTER RD,RADIO DR/GRISWOLD AV,RADIO DR/LUCERNE ST,KENNELWORTH PL/AMPERE AV,BRUCKNER BL/MIDDLETOWN RD,CAMPBELL DR/COUNTRY CLUB RD,MARCONI ST/WATERS PL,COUNTRY CLUB RD/KEARNEY AV,SPENCER DR/STADIUM AV,WESTCHESTER AV/BUHRE AV,MARCONI ST /911 CALL  CENTER,MARCONI ST/911 CALL CENTER,RAWLINS AV/KEARNEY AV,COUNTRY CLUB RD/MC DONOUGH PL,WESTCHESTER AV/MAHAN AV,WESTCHESTER AV/BLONDEL AV,WESTCHESTER AV/ST THERESA AV,BRUCKNER BL/BUHRE AV,WATERS ST/MARCONI ST,CAMPBELL DR/AGAR PL,BRUCKNER BL/ROBERTS AV,SPENCER DR/REED PL,WILLIAMSBRIDGE RD/E TREMONT AV,RAWLINS AV/LOHENGRIN PL,CAMPBELL DR/STADIUM AV,WILLIAMSBRIDGE RD/ST RAYMONDS AV,WILLIAMSBRIDGE RD/EASTCHESTER RD,WESTCHESTER AV/WILKINSON AV,COUNTRY CLUB RD/KENNELLWORTH PL,WESTCHESTER AV/E TREMONT AV,WESTCHESTER AV/MULFORD AV,KEARNEY AV/CONNELL PL,SPENCER DR/KENNELLWORTH PL,BRUCKNER BL/JARVIS AV,BRUCKNER BL/WILLOW LA,West Farms Depot (WF)
COUNTRY CLUB RD/MC DONOUGH PL,,,,,,,,,,,,,,,,3.632 HUTCHINSON METRO CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/MAHAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284 COUNTRY CLUB via PELHAM BAY,,,,,,,,
WESTCHESTER AV/BLONDEL AV,,,,,,0.5 COUNTRY CLUB via PELHAM BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/ST THERESA AV,,,,,,,,,,,,,,,,,,,,,0.302 HUTCHINSON METRO CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUCKNER BL/BUHRE AV,,,,,,,,1.135 HUTCHINSON METRO CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATERS ST/MARCONI ST,,,,,,,,,0.368 COUNTRY CLUB via PELHAM BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPBELL DR/AGAR PL,,,,,,,,,,,,,,,,,0.213 COUNTRY CLUB via PELHAM BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUCKNER BL/ROBERTS AV,,,,,,,,,,,,,,,,4.128 COUNTRY CLUB via PELHAM BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPENCER DR/REED PL,,,,,,,,,,,,,,0.194 COUNTRY CLUB via PELHAM BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMSBRIDGE RD/E TREMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.461 COUNTRY CLUB via PELHAM BAY,,,,,,,,,,,,,,,,,,,,
RAWLINS AV/LOHENGRIN PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081 COUNTRY CLUB via PELHAM BAY,,,,,,,,,,,
CAMPBELL DR/STADIUM AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.271 COUNTRY CLUB via PELHAM BAY,,,,,,,,,,,,,,,,
WILLIAMSBRIDGE RD/ST RAYMONDS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119 HUTCHINSON METRO CENTER,,,,,,,,,
WILLIAMSBRIDGE RD/EASTCHESTER RD,,,,,,,,,,,,0.257 HUTCHINSON METRO CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/WILKINSON AV,,,0.323 COUNTRY CLUB via PELHAM BAY,,,,,,,,,,,,,,,,,,,,,,,,,0.252 HUTCHINSON METRO CENTER,,,,,,,,,,,,,,,,,,,
COUNTRY CLUB RD/KENNELLWORTH PL,,,,,,,,,,,,,,,,,,,,,,,,,0.163 HUTCHINSON METRO CENTER,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/E TREMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.447 HUTCHINSON METRO CENTER,,,,,,,,,,
WESTCHESTER AV/MULFORD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.697 HUTCHINSON METRO CENTER,,,,,,
KEARNEY AV/CONNELL PL,,,,,,,,,,,,,,,,,,,,,,,,0.216 COUNTRY CLUB via PELHAM BAY,,,,,,,,,,,,,,,,,,,,,,,
SPENCER DR/KENNELLWORTH PL,,,,,,,,,,,,,,,,,,,,0.178 HUTCHINSON METRO CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUCKNER BL/JARVIS AV,,,,,,,,,,,,,,,,,,,0.147 COUNTRY CLUB via PELHAM BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUCKNER BL/WILLOW LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26 COUNTRY CLUB via PELHAM BAY,,,,,,,,,,,,,,,
West Farms Depot (WF),,,,,,,,,2.987 COUNTRY CLUB via PELHAM BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
