,BROADWAY/BARCLAY ST,BROADWAY /LIBERTY ST,HYLAN BL/BRIGHTON ST,HUGUENOT AV/AMBOY RD,BROADWAY/EXCHANGE ALLEY,WOODROW RD/HOLCOMB AV,TRINITY PL/RECTOR ST,ARDEN AV/ARTHUR KILL RD,HYLAN BL/SEGUINE AV,HYLAN BL/SPRAGUE AV,BROADWAY/CHAMBERS ST,ARTHUR KILL RD/WEST SERVICE RD,CRAIG AV/HYLAN BL,ARDEN AV/WOODROW RD,HYLAN BL/WOODVALE AV,HYLAN BL/BAYVIEW AV,ARDEN AV/HAMPTON GREEN,HYLAN BL/BEDELL AV,ARTHUR KILL RD/VETERANS RD E,WOODROW RD/BOULDER ST,CHURCH ST/WORTH ST,HUGUENOT AV/DRUMGOOLE RD E,HUGUENOT AV/RAMONA AV,CHURCH ST/CHAMBERS ST,HYLAN BL/HUGUENOT AV,BATTERY PL / WASHINGTON ST,BATTERY PL/WASHINGTON ST,HYLAN BL/CHELSEA ST,WOODROW RD/ALMOND ST,HYLAN BL/CRAIG AV,VETERANS RD E/ARTHUR KILL RD,ARTHUR KILL RD/ARDEN AV,HYLAN BL/LUTEN AV,GLEN ST/VICTORY BL,WOODROW RD/CANTON AV,HUGUENOT AV/RATHBUN AV,HUGUENOT AV/ DRUMGOOLE RD E,HYLAN BL/BAY VIEW AV,WOODROW RD/VINELAND AV,CHURCH ST/FULTON ST,WEST SHORE EXP/VICTORY BL,Charleston Depot (CH)
BATTERY PL / WASHINGTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.918 TOTTENVILLE via HUGUENOT AV via HYLAN BL,
BATTERY PL/WASHINGTON ST,,,,,,,0.445 DOWNTOWN WORTH ST via CHURCH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/CHELSEA ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.576 TOTTENVILLE via HUGUENOT AV via HYLAN BL,,,,,,,,,,,,
WOODROW RD/ALMOND ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25 TOTTENVILLE via HUGUENOT AV via HYLAN BL,,,,,,,
HYLAN BL/CRAIG AV,,,,,,,,,,,,,0.019 DOWNTOWN WORTH ST via CHURCH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VETERANS RD E/ARTHUR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.259 DOWNTOWN WORTH ST via CHURCH ST,,,,,,,,
ARTHUR KILL RD/ARDEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68 DOWNTOWN WORTH ST via CHURCH ST,,,,,,,,,,,
HYLAN BL/LUTEN AV,,,,2.775 DOWNTOWN WORTH ST via CHURCH ST,,,,,1.262 TOTTENVILLE via HUGUENOT AV via HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLEN ST/VICTORY BL,,,,,,,,,,,,,,,,,,,,,,,,,,,29.647 DOWNTOWN WORTH ST via CHURCH ST,,,,,,,,,,,,,,,
WOODROW RD/CANTON AV,,,,,,,,,,,,,,,,,,,,0.63 TOTTENVILLE via HUGUENOT AV via HYLAN BL,,,,,,,,,,,,,,,,,,,,,,
HUGUENOT AV/RATHBUN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.638 TOTTENVILLE via HUGUENOT AV via HYLAN BL,,,,,
HUGUENOT AV/ DRUMGOOLE RD E,,,,0.313 TOTTENVILLE via HUGUENOT AV via HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/BAY VIEW AV,,,,,,,,,0.597 DOWNTOWN WORTH ST via CHURCH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODROW RD/VINELAND AV,,,,,,0.662 DOWNTOWN WORTH ST via CHURCH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHURCH ST/FULTON ST,,,,,,,,,,,,,,,,,,,,,,,,0.435 DOWNTOWN WORTH ST via CHURCH ST,,,,,,,,,,,,,,,,,,
WEST SHORE EXP/VICTORY BL,,,,,,,,,,,,4.265 TOTTENVILLE via HUGUENOT AV via HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston Depot (CH),,,,,,,,,,,,,,,,,,3.551 DOWNTOWN WORTH ST via CHURCH ST,,,,,,,,,,,,,,,,,,,,,,,,
