,WILLIAMSBRIDGE RD/SILVER ST,LOCUST POINT DR/HATTING PL,WILLIAMSBRIDGE RD/ASTOR AV,WILLIAMSBRIDGE RD/PELHAM PY N,CROSBY AV/BRUCKNER BL,THROGS NECK EXP/WISSMAN AV,BRONXWOOD AV/DUNCAN ST,BRONXWOOD AV/GUN HILL RD,CROSBY AV/BAISLEY AV,CROSBY AV/BUHRE AV,CROSBY AV/WESTCHESTER AV,BRONXWOOD AV/BURKE AV,BRONXWOOD AV/ADEE AV,BRONXWOOD AV/BARTHOLDI ST,CROSBY AV/DUDLEY AV,THROGS NECK EXP/HARDING AV,EDGEWATER PL/EDGEWATER PK OVAL,BRONXWOOD AV/E 218 ST,WILLIAMSBRIDGE RD/RHINELANDER AV,LONGSTREET AV/CHAFFEE AV,WILLIAMSBRIDGE RD/PELHAM PY,CROSBY AV/ZULETTE AV,WILLIAMSBRIDGE RD/PIERCE AV,CHAFFEE AV/HATTING PL,WILLIAMSBRIDGE RD/MACE AV,OTIS AV/LOGAN AV,THROGS NECK/VETERANS MEMORIAL,LAYTON AV/THROGS NECK EP,WILLIAMSBRIDGE RD/ALLERTON AV,PENNYFIELD AV/THROGS NECK EP,THROGS NECK EP/MEAGHER AV,BRONXWOOD AV/E GUN HILL RD,CROSBY AV/CODDINGTON AV,TIERNEY PL/LONGSTREET AV,WILLIAMSBRIDGE RD/EASTCHESTER RD,WILLIAMSBRIDGE RD/MORRIS PK AV,WILLIAMSBRIDGE RD/BOSTON RD,BRONXWOOD AV/TILDEN ST,BRONXWOOD AV/E 222 ST,E 226 ST/BRONXWOOD AV,PENNYFIELD AV/LAWTON AV,PENNYFIELD AV/HARDING AV,EDGEWATER PK/EDGEWATER PK OVAL,CROSBY AV/MIDDLETOWN RD,CLARENCE AV/PHILIP AV,LAYTON AV/VINCENT AV,BRONXWOOD AV/E 220 ST,OTIS AV/THROGS NECK EP,ELLSWORTH AV/SCHLEY AV,WHITE PLAINS RD/E 225 ST,BRONXWOOD AV/E 216 ST,WHITE PLAINS RD/E 222 ST,THROGS NECK EXP/PRENTISS AV,BRONXWOOD AV/E 214 ST,WESTCHESTER AV/E TREMONT AV,BRONXWOOD AV/E 224 ST,CLARENCE AV/RANDALL AV,WILLIAMSBRIDGE RD/E TREMONT AV,CROSBY AV/WATERBURY AV,WESTCHESTER AV/MULFORD AV,WILLIAMSBRIDGE RD/ST RAYMONDS AV,E TREMONT AV/LANE AV,DEAN AV/LAFAYETTE AV,LOCUST POINT DR/GEIGERICH PL,E 226 ST/BARNES AV,THROGS NECK EP/VETERANS MEMORIAL PK,WESTCHESTER AV/MIDDLETOWN RD,DEAN AV/LAYTON AV,LAYTON AV/CLARENCE AV,E 226 ST/WHITE PLAINS RD,GEIGERICH PL/LOCUST POINT DR,THROGS NECK EP/RANDALL AV,WILLIAMSBRIDGE RD/PELHAM PY S,WESTCHESTER AV/ROBERTS AV,WILLIAMSBRIDGE RD/NEILL AV,E 222 ST/BARNES AV,BRONXWOOD AV/ARNOW AV,West Farms Depot (WF)
BRONXWOOD AV/ADEE AV,,,,,,,,,,,,0.2 WILLIAMSBRIDGE 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213 LOCUST PT TIERNEY PL,
BRONXWOOD AV/BARTHOLDI ST,,,,,,,,,,,,0.259 LOCUST PT TIERNEY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROSBY AV/DUDLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 LOCUST PT TIERNEY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THROGS NECK EXP/HARDING AV,,,,,,,,,,,,,,,,,,,,0.199 LOCUST PT TIERNEY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDGEWATER PL/EDGEWATER PK OVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.828 WILLIAMSBRIDGE 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONXWOOD AV/E 218 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179 WILLIAMSBRIDGE 225 ST,,,,0.18 LOCUST PT TIERNEY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMSBRIDGE RD/RHINELANDER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256 LOCUST PT TIERNEY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246 WILLIAMSBRIDGE 225 ST,,,
LONGSTREET AV/CHAFFEE AV,,,,,,,,,,,,,,,,,,,,,,,,0.225 LOCUST PT TIERNEY PL,,,,,,,,,,,,,,,,,,0.477 WILLIAMSBRIDGE 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMSBRIDGE RD/PELHAM PY,,,,0.0 WILLIAMSBRIDGE 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROSBY AV/ZULETTE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19 WILLIAMSBRIDGE 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMSBRIDGE RD/PIERCE AV,0.371 LOCUST PT TIERNEY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.411 WILLIAMSBRIDGE 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAFFEE AV/HATTING PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 LOCUST PT TIERNEY PL,,,,,,,,,,,,,,
WILLIAMSBRIDGE RD/MACE AV,,,0.377 LOCUST PT TIERNEY PL,,,,,,,,,,,,,,,,,,,,,,,,,,0.303 WILLIAMSBRIDGE 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTIS AV/LOGAN AV,,,,,0.128 WILLIAMSBRIDGE 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THROGS NECK/VETERANS MEMORIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 LOCUST PT TIERNEY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYTON AV/THROGS NECK EP,,,,,,,,,,,,,,,,,,,,,,,,,,0.247 WILLIAMSBRIDGE 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMSBRIDGE RD/ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,0.303 LOCUST PT TIERNEY PL,,,,,,,,,,,,0.161 WILLIAMSBRIDGE 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENNYFIELD AV/THROGS NECK EP,,,,,,0.194 WILLIAMSBRIDGE 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THROGS NECK EP/MEAGHER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.737 WILLIAMSBRIDGE 225 ST,,,,,,,,,,,,
BRONXWOOD AV/E GUN HILL RD,,,,,,,,,,,,,,0.218 LOCUST PT TIERNEY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROSBY AV/CODDINGTON AV,,,,,,,,,,,,,,,,,,,,,,0.175 WILLIAMSBRIDGE 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266 LOCUST PT TIERNEY PL,,,,,,,,,,,,,,,,,,,
TIERNEY PL/LONGSTREET AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506 WILLIAMSBRIDGE 225 ST,,,,,,,
WILLIAMSBRIDGE RD/EASTCHESTER RD,,,,,,,,,,,,,,,,,,,,,,,0.371 WILLIAMSBRIDGE 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMSBRIDGE RD/MORRIS PK AV,,,,,,,,,,,,,,,,,,,0.256 WILLIAMSBRIDGE 225 ST,,,,0.411 LOCUST PT TIERNEY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.623 to depot of Bx8
