,AMBOY RD/PETERSONS LN,RICHMOND AV/FOREST HILL RD,BLOOMINGDALE RD/SHARROTTS RD,AMBOY RD/PERTERSONS LN,BLOOMINGDALE RD/ENGLEWOOD AV,RICHMOND AV/YUKON AV,BLOOMINGDALE RD/CLAY PIT RD,ARTHUR KILL RD/ANNADALE RD,AMBOY RD/BLOOMINGDALE RD,MARSH AV/ELMWOOD PK DR,SEGUINE AV/JOHANNA LA,SEGUINE AV/DIRENZO CT,BLOOMINGDALE RD/SOUTH SERVICE RD,ANNADALE RD/DRUMGOOLE RD E,ANNADALE RD/RYE AV,MARSH AV/WINDHAM LOOP,HYLAN BL/LUTEN AV,ANNADALE RD/DORVAL PL,BLOOMINGDALE RD/OPP SHIEL AV,AMBOY RD/KINGDOM AV,LUTEN AV/HYLAN BL,ANNADALE RD/DRUMGOOLE RD W,ANNADALE RD/HILLIS ST,ANNADALE RD/CROSSFIELD AV,PLATINUM AV/TOYS R US,ANNADALE RD/GENESEE AV,ANNADALE RD/GRANTWOOD AV,HYLAN BL/CORNELIA AV,BLOOMINGDALE RD/OPP KRAMER AV,HYLAN BL/HUGUENOT AV,BLOOMINGDALE RD/PEMBROOK LOOP,ANNADALE RD/SOUTH RAILROAD ST,ANNADLE RD/TYNAN ST,SEGUINE AV/WATERBURY AV,BLOOMINGDALE RD/AMBOY RD,BLOOMINGDALE RD/CORRELL AV,SEGUINE AV/KNOX ST,PLATINUM AV/SEARS,LUTEN AV/EYLANDT ST,AMBOY RD/BAYVIEW AV,ANNADALE RD/AMBOY RD,ELTINGVILLE/TRANSIT CENTER,BLOOMINGDALE RD/MARVIN RD,AMBOY RD/HUGUENOT AV,ANNADALE RD/ARDEN AV,ANNADALE RD/NOTUS AV,BLOOMINGDALE RD/ALYSIA CT,ARTHUR KILL RD/CROSSFIELD AV,RICHMOND AV/PLATINUM AV,ANNADALE RD/TOKEN ST,HYLAN BL/SEGUINE AV,AMBOY RD/ARBUTUS AV,HYLAN BL/WENDY DR,AMBOY RD/RUGGLES ST,BLOOMINGDALE RD/VETERANS RD E,ANNADALE RD/NORTH PINE TER,BLOOMINGDALE RD/KRAMER AV,LUTEN AV/DEISIUS ST,HYLAN BL/BERTRAM AV,MARSH AV/RING RD,AMBOY RD/ALVINE AV,Charleston Depot (CH)
AMBOY RD/KINGDOM AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,0.373 S I MALL,,,,,,,,,,
LUTEN AV/HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94 S I MALL,,,,,,,,,,,,,,,,,,,,,,,
ANNADALE RD/DRUMGOOLE RD W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.576 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,
ANNADALE RD/HILLIS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.151 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNADALE RD/CROSSFIELD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.502 S I MALL,,,,,,,,,,,,
PLATINUM AV/TOYS R US,,,,,,,,,,,,,,,,0.422 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNADALE RD/GENESEE AV,,,,,,,,,,,,,,0.278 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNADALE RD/GRANTWOOD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.408 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,
HYLAN BL/CORNELIA AV,,,,,,,,,,,,,,,,,,,,,2.801 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.117 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,
BLOOMINGDALE RD/OPP KRAMER AV,,,,,,,0.213 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/HUGUENOT AV,,,,,,,,,,,,,,,,,0.652 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,0.796 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/PEMBROOK LOOP,,,,,0.435 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNADALE RD/SOUTH RAILROAD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.524 S I MALL,,,,,,,,,,,0.238 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,
ANNADLE RD/TYNAN ST,,,,,,,,,,,,,,,,,,0.389 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEGUINE AV/WATERBURY AV,0.996 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,0.324 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/AMBOY RD,,,,,,,,,,,,,0.476 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/CORRELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.853 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,
SEGUINE AV/KNOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.326 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLATINUM AV/SEARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.347 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,
LUTEN AV/EYLANDT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.679 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.206 S I MALL,,,,
AMBOY RD/BAYVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.452 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNADALE RD/AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,0.39 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223 ROSSVILLE VETERANS RD E via AMBOY RD,
ELTINGVILLE/TRANSIT CENTER,,2.556 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.082 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,
BLOOMINGDALE RD/MARVIN RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,
AMBOY RD/HUGUENOT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.738 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,
ANNADALE RD/ARDEN AV,,,,,,,,,,,,,,,0.274 S I MALL,,,,,,,,,,,,,,,,,0.524 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNADALE RD/NOTUS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.332 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/ALYSIA CT,,,,,,,0.312 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/CROSSFIELD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,0.964 S I MALL,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/PLATINUM AV,,,,,,0.229 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNADALE RD/TOKEN ST,,,,,,,,0.225 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/SEGUINE AV,,,,,,,,,,,,0.598 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,1.043 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBOY RD/ARBUTUS AV,,,,,,,,,,,,,,,,,,,,0.373 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211 S I MALL,,,,,,,,
HYLAN BL/WENDY DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.038 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,2.844 S I MALL,,,,,,,,,,,
AMBOY RD/RUGGLES ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298 S I MALL,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/VETERANS RD E,,,,,,,,,,,,,,,,,,,1.789 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNADALE RD/NORTH PINE TER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.303 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/KRAMER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.356 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,
LUTEN AV/DEISIUS ST,,,,,,,,,,,,,,,,,,,,0.73 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/BERTRAM AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.441 ROSSVILLE VETERANS RD E via AMBOY RD,,
MARSH AV/RING RD,,,,,,,,,,0.969 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.254 S I MALL,,,
AMBOY RD/ALVINE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,
Charleston Depot (CH),,,,,2.722 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
