,VICTORY BL/SIGNS RD,VICTORY BL/MANOR RD,VICTORY BL/JEWETT AV,VICTORY BL/SIMMONS LA,VICTORY BL/FOREST AV,VICTORY BL/BRYSON AV,VICTORY BL/GOLLER PL,VICTORY BL/ARLENE ST,VICTORY BL/SILVER LAKE APTS,VICTORY BL/WILD AV,VICTORY BL/CLOVE RD,ST GEORGE FERRY/ST GEORGE FERRY,BAY ST/NICK LAPORTE PL,VICTORY BL/FIELDMEYERS LA,VICTORY BL/TRAVIS AV 2,VICTORY BL/ALBERTA AV,VICTORY BL/OPP CON EDISON,VICTORY BL/RICHMOND AV,VICTORY BL/MORANI ST,VICTORY BL/GLEN ST,VICTORY BL/OCONNOR AV,VICTORY BL/BARON BL,VICTORY BL/NEPTUNE PL,VICTORY BL/WILLOWBROOK RD,VICTORY BL/SHENANDOAH AV,VICTORY BL/CANNON AV,VICTORY BL/BURKE AV,VICTORY BL/CRYSTAL AV,VICTORY BL/INGRAM AV,VICTORY BL / BAY ST,BAY ST/BOROUGH PL,VICTORY BL/TRAVIS AV,VICTORY BL/LIVERMORE AV,VICTORY BL/RIDGEWAY AV,VICTORY BL/SPARKS LA,VICTORY BL/SHERADEN AV,ST GEORGE FERRY/S62 & S92,VICTORY BL/3485 VICTORY BL,VICTORY BL/DINSMORE ST,VICTORY BL/CON EDISON,COLLEGE OF SI/ROADWAY ENT,VICTORY BL/FELDMEYERS LA,VICTORY BL/EDDY ST,VICTORY BL/MANN AV,VICTORY BL/WILLOWBROOK PK,VICTORY BL/GRAHAM AV,VICTORY BL/VAN DUZER ST,VICTORY BL/LEROY ST,VICTORY BL/PERRY AV,VICTORY BL/MARTIN AV,VICTORY BL/DECATUR AV,VICTORY BL/LISA PL,VICTORY BL/N GANNON AV,VICTORY BL/3599 VICTORY BL,VICTORY BL/WILLOW RD,Yukon Depot (YU)
VICTORY BL/BARON BL,,,,,,,,,,,,,,,,,,,,,,,,,0.177 LIMITED ST GEORGE FERRY,0.353 LIMITED TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/NEPTUNE PL,,,,,,,,,,,,,,,,,,,,,,,,0.164 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/WILLOWBROOK RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43 LIMITED ST GEORGE FERRY,,,,0.379 LIMITED TRAVIS via VICTORY,
VICTORY BL/SHENANDOAH AV,,,,,,,,,,,,,,,,,,,,,,0.177 LIMITED TRAVIS via VICTORY,,,,,,,,,,0.184 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/CANNON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171 LIMITED TRAVIS via VICTORY,,,,,,,,
VICTORY BL/BURKE AV,,,,0.328 LIMITED ST GEORGE FERRY,,,,,,0.218 LIMITED TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/CRYSTAL AV,,,,,,0.206 LIMITED TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281 LIMITED ST GEORGE FERRY,,,,,,
VICTORY BL/INGRAM AV,,,,,,,,,,,,,,,,,,,,,0.171 LIMITED TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.543 LIMITED ST GEORGE FERRY,,,,,,,
VICTORY BL / BAY ST,,,,,1.433 LIMITED TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,0.556 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/BOROUGH PL,,,,,,,,,,,,0.392 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
