,LORRAINE ST/CLINTON ST,VAN BRUNT ST/HAMILTON AV,COLUMBIA ST/SACKETT ST,LORRAINE ST/OTSEGO ST,VAN BRUNT ST/SEABRING ST,COLUMBIA ST/CONGRESS ST,ATLANTIC AV/HICKS ST,ATLANTIC AV/CLINTON ST,COLUMBIA ST/CARROLL ST,VAN BRUNT ST/SUMMIT ST,OTSEGO ST/LORRAINE ST,PROSPECT PARK WEST/18 ST,VAN DYKE ST/RICHARDS ST,COLUMBIA ST/BALTIC ST,PROSPECT PK W/19 ST,DWIGHT ST/VAN DYKE ST,MILL ST/CLINTON ST,8 AV/13 ST,VAN BRUNT ST/SULLIVAN ST,VAN BRUNT ST/VERONA ST,COURT ST/LORRAINE ST,SMITH ST/ATLANTIC AV,SMITH ST/FULTON ST,PROSPECT PK W/16 ST,9 ST/6 AV,LORRAINE ST/HENRY ST,ATLANTIC AV/BOERUM PL,ATLANTIC AV/HENRY ST,VAN DYKE ST/VAN BRUNT ST,19 ST/8 AV,9 ST/7 AV,COLUMBIA ST/UNION ST,DWIGHT ST/DIKEMAN ST,BOERUM PL/JORALEMON ST,COLUMBIA ST/ATLANTIC AV,SMITH ST/LIVINGSTON ST,VAN BRUNT ST/PIONEER ST,9 ST/5 AV,PROSPECT PK W/12 ST,COURT ST/W 9 ST,15 ST/8 AV,PROSPECT PK SW/BARTEL PRITCHARD SQ,LORRAINE ST/HICKS ST,COLUMBIA ST/WARREN ST,VAN BRUNT ST/COFFEY ST,VAN BRUNT ST/KING ST,9 ST/3 AV,PROSPECT PK W/9 ST,SMITH ST/9TH ST,VAN BRUNT ST/WOLCOTT ST,LORRAINE ST/COLUMBIA ST,PROSPECT PK/PROSPECT PK SW,9 ST/8 AV,VAN BRUNT ST/DIKEMAN ST,COLUMBIA ST/KANE ST,BEARD ST/OTSEGO ST,CLINTON ST/LORRAINE ST,PROSPECT PK W/18 ST,8 AV/11 ST,9 ST/4 AV,PROSPECT PK W/PROSPECT AV,VAN BRUNT ST/COMMERCE ST,BEARD ST/VAN BRUNT ST,ATLANTIC AV/COURT ST,2 AV/9TH ST,Jackie Gleason Depot (JG)
PROSPECT PK W/12 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308 PARK SLOPE 20 ST via RED HOOK,,,,,,,,,,,,,,,,,,,,,,,,
COURT ST/W 9 ST,,,,,,,,,,,,,,,,,,,,,0.305 DOWNTOWN BKLYN FULTON MALL via RED HOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 ST/8 AV,,,,,,,,,,,,,,,,,,13.094 DOWNTOWN BKLYN FULTON MALL via RED HOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROSPECT PK SW/BARTEL PRITCHARD SQ,,,,,,,,,,,,,,,,,,,,,,,,0.229 PARK SLOPE 20 ST via RED HOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LORRAINE ST/HICKS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 DOWNTOWN BKLYN FULTON MALL via RED HOOK,,,,,,,,,,,,,,,
COLUMBIA ST/WARREN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.501 DOWNTOWN BKLYN FULTON MALL via RED HOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN BRUNT ST/COFFEY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 PARK SLOPE 20 ST via RED HOOK,,,
VAN BRUNT ST/KING ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 PARK SLOPE 20 ST via RED HOOK,,,,,,,,,,,,,,,,
9 ST/3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225 PARK SLOPE 20 ST via RED HOOK,,,,,0.225 DOWNTOWN BKLYN FULTON MALL via RED HOOK,
PROSPECT PK W/9 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226 PARK SLOPE 20 ST via RED HOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMITH ST/9TH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143 DOWNTOWN BKLYN FULTON MALL via RED HOOK,,,,,,,0.721 PARK SLOPE 20 ST via RED HOOK,,,,,,,,,,,,,,,,,,,
VAN BRUNT ST/WOLCOTT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 PARK SLOPE 20 ST via RED HOOK,,,,,,,,,,,,,,,,,,,,,
LORRAINE ST/COLUMBIA ST,,,,0.166 DOWNTOWN BKLYN FULTON MALL via RED HOOK,,,,,,,,,,,,,,,,,,,,,,0.299 PARK SLOPE 20 ST via RED HOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROSPECT PK/PROSPECT PK SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.476 DOWNTOWN BKLYN FULTON MALL via RED HOOK,,,,,,,,,,,,,,,,,,,,,,,,,
9 ST/8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.207 DOWNTOWN BKLYN FULTON MALL via RED HOOK,,,,,,,,,,,,,,,,,8.746 PARK SLOPE 20 ST via RED HOOK,,,,,,,,,,,,,,,,,,
VAN BRUNT ST/DIKEMAN ST,,,,,,,,,,,,,,,,,,,0.157 DOWNTOWN BKLYN FULTON MALL via RED HOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBIA ST/KANE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155 DOWNTOWN BKLYN FULTON MALL via RED HOOK,,,,,,,,,,,,,,,,,,,,,,
BEARD ST/OTSEGO ST,,,,,,,,,,,0.348 PARK SLOPE 20 ST via RED HOOK,,0.41 DOWNTOWN BKLYN FULTON MALL via RED HOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLINTON ST/LORRAINE ST,,,,,,,,,,,,,,,,,0.231 PARK SLOPE 20 ST via RED HOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROSPECT PK W/18 ST,,,,,,,,,,,,,,,0.057 PARK SLOPE 20 ST via RED HOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178 DOWNTOWN BKLYN FULTON MALL via RED HOOK,,,,,
8 AV/11 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.21 DOWNTOWN BKLYN FULTON MALL via RED HOOK,,,,,,,,,,,,,
9 ST/4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304 PARK SLOPE 20 ST via RED HOOK,,,,,,,,,0.528 DOWNTOWN BKLYN FULTON MALL via RED HOOK,,,,,,,,,,,,,,,,,,,
PROSPECT PK W/PROSPECT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.042 DOWNTOWN BKLYN FULTON MALL via RED HOOK,,,,,,0.178 PARK SLOPE 20 ST via RED HOOK,,,,,,,,
VAN BRUNT ST/COMMERCE ST,,,,,,,,,,,,,,,,,,,,0.159 PARK SLOPE 20 ST via RED HOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEARD ST/VAN BRUNT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.499 PARK SLOPE 20 ST via RED HOOK,,,,,,,,,,
ATLANTIC AV/COURT ST,,,,,,,,0.181 PARK SLOPE 20 ST via RED HOOK,,,,,,,,,,,,,,0.292 DOWNTOWN BKLYN FULTON MALL via RED HOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/9TH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.982 DOWNTOWN BKLYN FULTON MALL via RED HOOK,,,,,,,,,,,,,,,,,
Jackie Gleason Depot (JG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.274 DOWNTOWN BKLYN FULTON MALL via RED HOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
