route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
BX38,GH_A2-Saturday,GH_A2-Saturday-125600_BX30_573,CO-OP CITY BAY PLAZA via GUNHILL,0,BX380083
BX38,GH_A2-Saturday,GH_A2-Saturday-131400_BX30_573,NORWOOD 205 ST STATION via GUNHILL,1,BX380111
BX38,GH_A2-Saturday,GH_A2-Saturday-136200_BX30_571,CO-OP CITY BAY PLAZA via GUNHILL,0,BX380083
BX28,GH_A2-Saturday,GH_A2-Saturday-077300_BX238_614,FORDHAM CENTER 192 ST via GUNHILL,1,BX280271
BX28,GH_A2-Saturday,GH_A2-Saturday-083900_BX238_611,CO-OP CITY EARHART LANE via GUNHILL,0,BX280289
BX28,GH_A2-Saturday,GH_A2-Saturday-091200_BX238_634,FORDHAM CENTER 192 ST via GUNHILL,1,BX280271
BX28,GH_A2-Saturday,GH_A2-Saturday-098500_BX238_634,CO-OP CITY EARHART LANE via GUNHILL,0,BX280289
BX38,GH_A2-Saturday,GH_A2-Saturday-085000_BX238_610,CO-OP CITY BAY PLAZA via GUNHILL,0,BX380083
BX38,GH_A2-Saturday,GH_A2-Saturday-091400_BX238_610,NORWOOD 205 ST STATION via GUNHILL,1,BX380111
BX38,GH_A2-Saturday,GH_A2-Saturday-098000_BX238_618,CO-OP CITY BAY PLAZA via GUNHILL,0,BX380083
BX38,GH_A2-Saturday,GH_A2-Saturday-104200_BX238_618,NORWOOD 205 ST STATION via GUNHILL,1,BX380111
BX38,GH_A2-Saturday,GH_A2-Saturday-111600_BX238_618,CO-OP CITY BAY PLAZA via GUNHILL,0,BX380083
BX38,GH_A2-Saturday,GH_A2-Saturday-116200_BX30_569,NORWOOD 205 ST STATION via GUNHILL,1,BX380111
BX38,GH_A2-Saturday,GH_A2-Saturday-123600_BX30_569,CO-OP CITY BAY PLAZA via GUNHILL,0,BX380083
BX38,GH_A2-Saturday,GH_A2-Saturday-129000_BX30_571,NORWOOD 205 ST STATION via GUNHILL,1,BX380111
BX38,GH_A2-Saturday,GH_A2-Saturday-133800_BX238_633,CO-OP CITY BAY PLAZA via GUNHILL,0,BX380083
BX38,GH_A2-Saturday,GH_A2-Saturday-085000_BX26_506,NORWOOD 205 ST STATION via GUNHILL,1,BX380111
BX38,GH_A2-Saturday,GH_A2-Saturday-092000_BX26_506,CO-OP CITY BAY PLAZA via GUNHILL,0,BX380083
BX38,GH_A2-Saturday,GH_A2-Saturday-098200_BX238_637,NORWOOD 205 ST STATION via GUNHILL,1,BX380111
BX38,GH_A2-Saturday,GH_A2-Saturday-104600_BX238_637,CO-OP CITY BAY PLAZA via GUNHILL,0,BX380083
BX28,GH_A2-Saturday,GH_A2-Saturday-084800_BX238_615,FORDHAM CENTER 192 ST via GUNHILL,1,BX280271
BX28,GH_A2-Saturday,GH_A2-Saturday-092500_BX238_615,CO-OP CITY EARHART LANE via GUNHILL,0,BX280289
BX28,GH_A2-Saturday,GH_A2-Saturday-099600_BX238_615,FORDHAM CENTER 192 ST via GUNHILL,1,BX280271
BX28,GH_A2-Saturday,GH_A2-Saturday-107000_BX238_615,CO-OP CITY EARHART LANE via GUNHILL,0,BX280289
BX28,GH_A2-Saturday,GH_A2-Saturday-113800_BX30_559,FORDHAM CENTER 192 ST via GUNHILL,1,BX280271
BX28,GH_A2-Saturday,GH_A2-Saturday-122900_BX30_559,CO-OP CITY EARHART LANE via GUNHILL,0,BX280289
BX28,GH_A2-Saturday,GH_A2-Saturday-130500_BX30_577,FORDHAM CENTER 192 ST via GUNHILL,1,BX280271
BX28,GH_A2-Saturday,GH_A2-Saturday-138000_BX30_577,CO-OP CITY EARHART LANE via GUNHILL,0,BX280289
BX28,GH_A2-Saturday,GH_A2-Saturday-144500_BX30_577,NORWOOD 205 ST STATION via GUNHILL,1,BX280270
BX28,GH_A2-Saturday,GH_A2-Saturday-149000_BX30_577,CO-OP CITY EARHART LANE via GUNHILL,0,BX280261
BX28,GH_A2-Saturday,GH_A2-Saturday-033300_BX238_606,FORDHAM CENTER 192 ST via GUNHILL,1,BX280271
BX28,GH_A2-Saturday,GH_A2-Saturday-034000_BX238_608,NORWOOD 205 ST STATION via GUNHILL,1,BX280270
BX28,GH_A2-Saturday,GH_A2-Saturday-121800_BX238_634,FORDHAM CENTER 192 ST via GUNHILL,1,BX280271
BX38,GH_A2-Saturday,GH_A2-Saturday-122300_BX26_517,NORWOOD 205 ST STATION via GUNHILL,1,BX380111
BX28,GH_A2-Saturday,GH_A2-Saturday-039000_BX238_608,CO-OP CITY EARHART LANE via GUNHILL,0,BX280261
BX30,GH_A2-Saturday,GH_A2-Saturday-039000_BX30_551,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-044100_BX30_551,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-051300_BX30_552,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-057000_BX30_552,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-062400_BX30_551,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-068500_BX30_558,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-075600_BX30_558,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-083500_BX30_558,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-089100_BX30_556,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-097000_BX30_571,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-102600_BX238_619,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-110200_BX238_619,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-116100_BX30_570,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-122200_BX26_521,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-128100_BX26_521,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-134700_BX26_521,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-140000_BX26_521,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-145000_BX26_521,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-042000_BX30_553,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-046600_BX30_557,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-052400_BX30_557,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-058900_BX30_557,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-065000_BX30_557,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-071400_BX238_609,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-079000_BX238_609,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-084600_BX30_551,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-092500_BX30_572,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-098100_BX30_569,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-106000_BX30_576,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-112100_BX30_574,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-119200_BX30_575,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-042100_BX30_554,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-046100_BX30_552,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-053200_BX30_554,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-059000_BX30_554,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-065400_BX30_554,NORWOOD 205 ST STATION,1,BX300132
